song_id,song_title,artist,album,genre,release_date,duration,popularity,stream,language,explicit_content,label,composer,producer,collaboration
SP11127,Story loss election.,Robin Robinson,Relationship.,Hip-Hop,2002-11-05,180.0,100,81529159,English,No,Indie,Jamie Reid,Angela Combs,Paul Friedman
SP23344,Care happen.,Jocelyn Joseph,Approach organization.,Pop,2000-01-28,241.0,82,50452989,German,No,Def Jam,Heather Sheppard,Mercedes Miller,Michael Cisneros
SP21276,One.,Isaac Garcia,Guy.,Pop,2021-08-22,234.0,34,35150862,English,Yes,Universal Music,Allison Orr,Robert Soto,Chad Flynn
SP28356,Him.,Brooke Rogers,Senior.,Pop,2014-09-03,220.0,59,21113890,English,No,Universal Music,Austin Harris,George Hester,
SP11838,Kind recently door.,Lisa Pruitt,Local support.,Hip-Hop,2022-11-17,224.0,40,93489708,Spanish,Yes,Def Jam,Mr. David Gentry,April Young,Stacey Sweeney
SP31970,You help who.,Matthew Anderson,Medical.,Electronic,1997-05-02,255.0,11,33672335,English,No,Def Jam,Lisa Stone,Martin Gill,
SP37254,Hold game me draw.,Dawn Holloway,Become crime.,Hip-Hop,2006-03-02,249.0,67,94731,English,Yes,Def Jam,Steven Anderson,Chad Hamilton,
SP11147,Lose like open.,Elizabeth Jenkins,Room.,Electronic,2003-08-23,230.0,94,21049019,English,No,Sony Music,Susan Lane,Janet Petersen,
SP48651,Join matter leg.,Ronald Melton,General personal.,Hip-Hop,2006-08-15,240.0,45,94023817,Spanish,Yes,Atlantic Records,Joseph Waters,Tiffany Pacheco,Alicia Schneider
SP39728,Church particularly recently.,Anthony Herman,Consumer.,Pop,2009-06-14,,1,56077273,English,Yes,Def Jam,Johnny West,Mark David,
SP20990,Goal industry stage.,Jennifer Vaughn,Could.,Pop,2002-12-06,248.0,99,81259183,English,Yes,Atlantic Records,Makayla Turner,David Mclean,
SP16397,Better usually any.,Sherri Payne,Take true.,Hip-Hop,2006-04-05,167.0,44,46431559,English,No,Universal Music,William Hicks,Devin Frazier,
SP23799,Serve that top.,Derrick Fields,Large.,Pop,2022-12-04,,88,70135803,English,Yes,Universal Music,Michael Collins,Dwayne Jacobs,
SP15959,Hope mind area.,Ashley Gordon,Weight employee.,Folk,1996-11-21,182.0,46,90410125,English,No,Def Jam,Kristie Nelson,Felicia Calderon,
SP5922,Term after field.,Aaron Brown,Far.,Reggae,2012-10-20,288.0,57,16355439,Italian,No,Sony Music,Gina Wolf,Janice Duran,Michael Bowers
SP6424,Type soldier.,Patrick Johnson,Cold plan.,Pop,2002-10-20,219.0,11,92918158,French,Yes,Universal Music,Crystal Brown,Debbie Vaughn,Marcus Torres
SP30140,Every.,Kathleen Rich,Late.,Hip-Hop,2011-01-26,184.0,69,37662861,English,No,Sony Music,Nicholas Obrien,Emily Cooper,
SP19111,Figure.,Wanda Davis,Image series.,Pop,2002-02-28,333.0,42,44608762,English,Yes,Warner Music,Michael Gaines,Albert Garcia,
SP48165,Car begin sister.,Kenneth Vasquez,Spring.,Folk,2004-01-06,272.0,12,37087518,English,No,Def Jam,Katherine Ramirez,Nicole Roman,
SP41485,Property food public.,Jerome Fitzpatrick,Tv idea.,Pop,2024-09-20,250.0,84,63255619,Korean,No,Def Jam,Ariel Smith,John Garza,
SP22725,Human Congress know who.,Teresa Andrews DDS,Discuss.,Hip-Hop,2023-06-17,212.0,29,89259974,English,Yes,Atlantic Records,Abigail Lee,Amy Cox,Amanda Ochoa
SP28807,Security ability.,Karina Myers,Modern ready.,Electronic,2010-01-15,231.0,16,56044141,English,Yes,Indie,Kyle Mills,Robert Aguilar,
SP13914,Either smile.,Hannah Knapp,Security east.,Pop,2019-08-04,245.0,19,86860763,Korean,No,Atlantic Records,Debra Reid,Rebecca Vaughan,
SP15682,Especially painting population.,Michael Evans,Reduce.,Electronic,2012-10-24,320.0,51,8795406,English,Yes,Def Jam,Dominic Rodgers,Joseph Douglas,
SP27913,Suggest stop analysis.,Maria Medina,Five.,Electronic,2002-11-13,240.0,13,77805333,English,Yes,Indie,Bridget Luna,Kenneth Smith,
SP21706,Character activity.,Cody Sanchez,Campaign bad.,Classical,2022-10-30,256.0,66,11041976,German,No,Universal Music,Scott Boyer,Teresa Ho,
SP23541,Building.,Jennifer Bailey,Trial just.,Hip-Hop,2009-06-02,248.0,64,86686312,English,Yes,Atlantic Records,Scott White,Frank Black,John Porter
SP27686,How represent decade.,Deanna White,Alone.,Hip-Hop,2002-09-23,327.0,80,91701507,Spanish,Yes,Sony Music,Teresa Scott,Jennifer Watson,
SP21467,Social this.,Jennifer Hernandez,People.,Electronic,1999-06-15,218.0,25,35541347,English,Yes,Universal Music,Katherine Black,Brenda Anderson,
SP40445,Not.,Whitney Ali,Small raise.,Electronic,1996-07-12,237.0,43,74674070,Japanese,Yes,Atlantic Records,Jessica Martin,Lauren Morgan,
SP45693,Interview likely.,Patricia Harper,Political sit.,Pop,2017-05-23,294.0,47,12614144,English,Yes,Indie,Jamie Lee,Charles Oliver,
SP11714,Society deal.,Joseph Larson,Product north.,Pop,2015-07-13,230.0,81,32369287,Japanese,Yes,Def Jam,David Smith,Eugene Faulkner,Sandra Barnett
SP9493,Use.,Kristina Murphy,Everything.,Pop,2006-02-10,173.0,100,40073914,English,Yes,Indie,Paula Carter,Thomas Merritt,
SP26052,Hot.,Sarah Ramirez,Success.,Electronic,2002-06-06,294.0,46,53736097,English,Yes,Indie,Mr. Nathan Rodriguez,Travis Mcintosh,Mr. David Roberts Jr.
SP36839,Six begin majority.,Mrs. Leah Ward,Western financial.,Hip-Hop,1998-11-05,297.0,95,12856182,English,Yes,Warner Music,John Beck,Elizabeth Ball,Jacqueline Vargas
SP5839,Side success.,Andrea Rodriguez,East feeling.,Electronic,1999-06-03,256.0,25,42672197,English,No,Universal Music,Christopher Chase,Michael Jenkins,Michelle Contreras
SP46533,Today could focus.,Justin Jordan,Understand.,Pop,1996-04-06,218.0,57,97297952,English,No,Def Jam,Sue Smith,Jeffery Rangel,
SP48343,Both feeling number.,Teresa Jackson,Grow.,Pop,2016-08-05,224.0,93,6697575,French,No,Universal Music,Dana Martinez,Nicholas Davis,Michael Parsons
SP11699,Art character executive.,Natasha Sharp,Choose.,Pop,2013-08-12,254.0,91,75247619,French,No,Atlantic Records,Paul Taylor,Tina Lopez,
SP48467,Life hard.,William Levine,Election prevent.,Reggae,2003-09-12,227.0,91,34418085,English,No,Indie,Whitney Hall,Jenna Holmes,
SP14114,Push rise.,Justin Collins,Nearly.,Hip-Hop,2018-05-14,,17,98326077,Spanish,Yes,Indie,Amanda Edwards,Karen Vega,
SP5382,Visit course country.,William Bradshaw,Size Mrs.,Country,2008-09-15,274.0,38,47410942,English,Yes,Sony Music,Mr. Nathan Gray,Joseph Gallegos,
SP38378,Suggest situation film.,Alan Sims,Employee sea.,Electronic,2000-10-22,244.0,90,35641191,Korean,Yes,Universal Music,William Ritter,Katherine Flores,
SP8222,Popular day.,Alicia Gardner,Participant.,Folk,2012-05-31,240.0,96,54367112,English,No,Def Jam,Evelyn Kim,Ashley Martin,
SP11686,Likely great way.,Robert Castaneda,Yard dinner.,Pop,2023-05-25,269.0,100,38786056,German,No,Indie,Ronald Brown,Billy Ryan,Tami Wilson
SP42559,Service box.,Jennifer Foster,Late someone.,Classical,2014-07-16,201.0,93,76779632,English,No,Universal Music,Megan Lindsey,Nicholas Smith,
SP48236,Radio.,Jessica Harper DDS,Military.,Pop,2000-01-14,258.0,29,10424025,English,No,Universal Music,Anthony Jackson,David White,Pamela Martin
SP9270,Concern along.,Ryan Copeland,Worker last.,Country,2014-09-21,,58,40698935,Spanish,Yes,Atlantic Records,Steven Harrington,Angela Joseph,Patrick Jones
SP5176,Foreign stage kid.,George Shaw,Might.,Hip-Hop,1996-05-12,170.0,2,94082367,English,Yes,Atlantic Records,Tracy Cook,Jared Payne,Richard Jones Jr.
SP3572,Design agent only.,Linda Solis,Main color.,Pop,1998-04-19,159.0,90,66850748,French,Yes,Atlantic Records,Brenda Bennett,Timothy Woods,
SP11042,Political suddenly gas.,Sharon Gross,Else.,Pop,1996-10-19,271.0,28,48088671,Spanish,No,Indie,Kristy Jackson,Sue Welch,
SP29044,Somebody by who.,Patrick Avila,Particular thought.,Electronic,2023-06-04,225.0,69,82129295,English,No,Warner Music,Mark White,Morgan Holt,John Leonard
SP37309,Real trip stop.,Leah Woods DDS,In carry.,Electronic,2007-08-17,290.0,64,74210090,English,Yes,Universal Music,William Reynolds,George Watts,
SP3474,Force first gas computer.,Alicia Henderson,Air who.,Pop,2018-09-14,211.0,2,93434794,English,Yes,Atlantic Records,Eddie Mitchell,John Spencer,Luke Berg
SP7896,Agreement.,Brent Robinson,Modern.,Electronic,2004-06-06,222.0,91,13361150,English,Yes,Warner Music,Teresa Vega,Kendra Warner,
SP5872,Sea north.,Amanda Jordan,Way.,Hip-Hop,2001-07-04,,89,36231151,Korean,No,Universal Music,Kristen Brown,Brent Martin,
SP42802,Force after suffer.,Aaron Bailey,Plant type.,Pop,2005-07-13,241.0,4,93546801,Spanish,Yes,Sony Music,Heather Green,Sydney Ramirez,
SP38569,Glass employee course.,Steven Burke,If conference.,Hip-Hop,2021-04-26,219.0,8,45060444,English,Yes,Universal Music,Brittany Padilla,John Young,
SP11844,Attack prove past.,Mr. John Williams,Meeting international.,Electronic,1997-07-25,244.0,42,96424002,English,Yes,Sony Music,Emily Harris,Nancy Phillips,Lauren Grant
SP46951,Around simply interesting.,Jessica Murray,Baby kitchen.,Pop,2019-12-16,223.0,7,9482837,English,No,Indie,Brenda Hall,Megan Kane,
SP34279,Under.,Kathy Russell,Return money.,Pop,2003-02-13,278.0,87,16006618,English,Yes,Sony Music,Patricia Brown,Morgan Wallace,
SP38531,Eat development particular.,Andrew Park,Kitchen art.,Hip-Hop,1995-02-02,157.0,100,4819829,English,Yes,Universal Music,Kelli Mann,Justin Obrien,Megan Mitchell
SP45379,Claim day reach.,George Caldwell,Key.,Hip-Hop,2000-12-30,,79,97458869,French,Yes,Indie,Gloria Wells,Scott Harris,
SP41913,Above stop figure.,Samantha Miller,He.,Electronic,2014-07-29,331.0,77,8386701,,No,Atlantic Records,Sarah Moore,Joel Richardson,David Hooper
SP40514,Significant family.,William Gonzales,Body truth.,Pop,1998-02-01,299.0,73,41770150,French,No,Def Jam,Christina Lamb,Michele Golden,
SP4165,Wrong act.,Ashley Fischer,Region ready.,Electronic,1997-06-23,298.0,24,1370968,French,Yes,Universal Music,Pam Roach,Dr. Calvin Cox,
SP33153,Pay whose.,Richard Hawkins,Able.,Pop,2015-06-08,246.0,68,55051879,English,Yes,Warner Music,Michelle Monroe,Alexander Willis,
SP27018,Social if.,Aaron Green,Relationship.,Pop,2012-04-27,173.0,19,6315521,English,Yes,Sony Music,Melissa Macias,Katie Thomas MD,Cathy Hill
SP2271,Common three look whether.,Michael Cook,Including.,Hip-Hop,2021-02-12,309.0,77,40992710,English,Yes,Def Jam,David Stewart,Heather Fitzgerald DDS,
SP46059,Factor home.,Toni Henry,Challenge.,Pop,2006-01-19,,56,2974570,Spanish,No,Indie,Nicholas Gonzalez,Justin Young,Raymond Myers
SP38101,According role.,Nicole Martinez,Home dinner.,Electronic,2014-10-25,123.0,18,13363553,English,Yes,Def Jam,Jared Martinez,Colleen Reid,Kathryn Thomas
SP25217,Me new white.,Jonathan Chapman,Tree standard.,Hip-Hop,2021-10-17,235.0,90,10070120,English,Yes,Universal Music,Jasmine Graham,Yvette Perkins,Sarah Nguyen
SP37076,Relate expert.,Bailey Hill,Throughout.,Electronic,1996-08-21,264.0,25,76105917,English,No,Def Jam,Sean Cross,Jo Crawford,Nancy Reed
SP0685,Quite.,Tyrone Moss,Require.,Classical,2009-06-01,202.0,36,89485380,French,Yes,Atlantic Records,Kimberly Wheeler,Joseph Cochran,
SP19078,Can thus good.,Michael Allen,Life.,Pop,2016-05-19,225.0,88,54883465,Spanish,No,Indie,Gregory Gray,Stephanie Smith,
SP19215,Seven.,Anthony Huber,Personal news.,Jazz,2018-03-09,254.0,33,67309884,English,Yes,Indie,James Nicholson,Valerie Christian,
SP18073,Organization method.,Alan Johnson,According.,Country,2014-09-02,217.0,77,60371603,Italian,No,Warner Music,Ashley Baker,Ruben Rose,
SP26714,Company.,Rebecca Norman,Go oil.,Electronic,2023-04-23,260.0,46,7517176,English,No,Sony Music,Allison Gomez,Anthony Byrd,
SP16315,Option leave.,Christine Ramirez,Keep.,Pop,2023-08-27,277.0,59,40397521,Italian,No,Warner Music,Cassandra Potter,Melissa Austin,John Burns
SP23902,Might nation blue.,Robert Douglas,General material.,Pop,2014-10-12,233.0,96,82597789,French,Yes,Sony Music,Peter Andrade,Rachel Peters,Cathy Roberts
SP34926,Late week.,Chelsea Rivera,Campaign.,Classical,2005-09-21,172.0,69,40886631,Spanish,No,Warner Music,Nathan Rose,Susan Short,
SP43339,Buy focus.,Michael Sanders,Defense care.,R&B,2016-01-24,376.0,95,24599583,English,No,Sony Music,Lisa Smith,Gabriel Jones,
SP27268,Citizen director.,Michael Nguyen,Scene.,Jazz,2011-07-23,246.0,22,26511986,English,Yes,Warner Music,Elizabeth Brown,Julia Weaver,
SP11444,Ask reach job.,Todd West,Could.,Pop,1998-01-06,271.0,12,94541138,English,No,Atlantic Records,Brenda Contreras,Lindsey Herrera,
SP9917,Dream just respond.,Kristina Montgomery MD,Large.,Classical,2005-06-21,,52,67999800,English,No,Atlantic Records,Antonio Foster,Louis Munoz,
SP21842,Organization technology.,Candace Fowler,Anyone cut.,Pop,2002-11-08,356.0,88,99700621,English,No,Warner Music,Brent Duran,Daniel Banks,
SP27311,Election north financial.,Kyle Smith,Loss two.,Pop,2021-12-20,229.0,41,79517381,French,Yes,Indie,Joseph Anderson,Robin Lee,
SP35535,Memory quickly arrive.,Lisa Anderson,Green.,Hip-Hop,2021-05-15,311.0,34,5955289,English,Yes,Sony Music,Kristin Moran,Christopher Norton,
SP10743,House near evidence.,Hannah Freeman,Expect law.,R&B,1999-02-23,274.0,54,69062958,English,No,Sony Music,Randy Hernandez,Todd Howell,Mrs. Jennifer Oliver
SP8708,Likely fill.,Benjamin Frazier,Force move.,Electronic,2017-12-19,269.0,97,98793158,Italian,Yes,Warner Music,Jason Jackson,Patrick Thompson,
SP19492,Thus sing.,April Vega,Mother face.,Electronic,1996-01-26,261.0,84,90048729,Japanese,Yes,Def Jam,Jason Wheeler,Stephanie Bass,
SP22585,Husband ball.,Oscar Tran,Allow.,Pop,2009-11-06,261.0,98,96417623,English,Yes,Warner Music,Rebecca Kennedy,David Porter,
SP13112,Speech same card.,Annette Gross,Might itself.,Electronic,2013-02-14,257.0,27,25136622,English,Yes,Def Jam,James Smith,Martha Miller,
SP13927,Degree behavior.,Ryan Garcia,Notice minute.,Jazz,2009-09-05,295.0,69,78286528,,No,Sony Music,Dr. Sandy Dougherty,Michael Richardson,
SP47187,Other past organization.,Christopher Herrera,Important store.,Hip-Hop,2021-02-16,246.0,38,79432691,Spanish,No,Universal Music,Jorge Carpenter,Allison Wilson,William Ritter
SP45114,Start after almost.,Rebecca Stewart,Matter main.,Reggae,2020-08-10,287.0,62,91987456,,No,Sony Music,Maureen Kelly,Julia Robinson,
SP33998,Million realize big.,Aaron Figueroa,Company wide.,Jazz,1996-03-29,209.0,69,84470625,English,Yes,Indie,Alexandria Castillo,Brian Woods,
SP3389,Together little.,Thomas Munoz,Young.,Hip-Hop,2006-08-24,240.0,73,17080011,,No,Sony Music,Maria Graham,Brittany Morse,
SP32720,Sort collection.,Joseph Santiago,High after.,Pop,2009-08-20,171.0,46,75135744,Spanish,No,Sony Music,Connie Jones,Heather Fitzgerald,
SP1723,Law top.,Jacob Pratt,Candidate.,Pop,2013-08-23,211.0,83,96880768,English,No,Indie,Kimberly Bell,Robert Lawrence,
SP38415,Start who.,Evan Lewis,Part grow.,Pop,2024-05-14,295.0,3,34300686,English,No,Warner Music,Russell Brown,Jennifer Gilmore,
SP40667,Hotel skin her.,David Sweeney,Source southern.,Pop,2007-11-27,260.0,95,17741340,Spanish,Yes,Atlantic Records,Nicole King,Jesus Cantrell,
SP3935,Life tell.,Eric Williams,Drive baby.,Hip-Hop,2014-12-26,281.0,52,36807361,English,No,Universal Music,Stacey Campos,Angela Hernandez,
SP31952,Different exactly fear.,Andrea Shields,Scene.,Hip-Hop,1995-07-19,293.0,87,54356429,Spanish,No,Sony Music,Mackenzie Terry,Michelle Owen,
SP5650,World carry.,Donna Hanna,Not view.,Pop,2019-12-24,266.0,52,51526353,,No,Indie,Mark Wilson,Brady Garcia,Michelle Livingston
SP45725,Success national.,Daniel Salinas,Sure.,Pop,2012-06-19,286.0,19,70054291,,Yes,Def Jam,Bryan Lyons,Ian Shaffer,Cory Sanders
SP29217,Continue building worry.,Nicholas Johnson,Forward.,Pop,2002-07-29,252.0,84,12003150,English,Yes,Sony Music,Ryan Thomas,Matthew Coleman,
SP26168,Apply win hospital.,Kimberly Pearson,Employee trouble.,Electronic,2011-05-27,209.0,48,69798323,English,No,Sony Music,Sharon Morton,Stephanie Brown,
SP5017,Every consumer trip.,Kathryn Shah,Author TV.,Hip-Hop,1998-12-04,255.0,83,89925403,Spanish,Yes,Atlantic Records,Natalie Jefferson,Jill King,
SP7253,Clear clear front.,Mark Hernandez,Country use.,Hip-Hop,1998-07-04,202.0,59,15591498,,No,Def Jam,Jaime Wilkins,Ian Watson,
SP37359,Discover course doctor.,Jennifer Thomas,One.,Hip-Hop,2012-05-25,244.0,78,39884133,English,No,Indie,Brian Ayala,Devin Pugh,
SP17095,Often range.,Allen Harvey,You.,Pop,1996-05-10,261.0,78,47474359,English,No,Indie,Brandon Ferguson,Jamie Lawrence,
SP46773,Fish floor under parent.,Robin Finley,Enter likely.,Pop,2000-09-25,339.0,29,18529097,,No,Indie,Christopher Boyle,Vanessa Carpenter DDS,
SP0600,Color that evidence officer.,Victoria Frost,Million.,Hip-Hop,2014-08-31,267.0,2,24933442,Japanese,Yes,Atlantic Records,Christopher Yang,Jennifer Compton,
SP6351,Yeah cause.,Deanna Espinoza,Easy her.,Electronic,1997-06-12,251.0,88,64249693,German,No,Atlantic Records,Michael Williams,Kathy Kaiser,
SP25866,Writer model.,Mike Andrews,Accept against.,Jazz,2019-10-06,231.0,64,69602699,Spanish,Yes,Universal Music,Dustin Simpson,Lori Moore,Laura Ray
SP15819,Democratic although.,Kathy Mcpherson,Hundred author.,Hip-Hop,2019-07-16,327.0,53,69904881,English,No,Def Jam,Robin Saunders,Cindy Hernandez,
SP49321,Much which charge.,Brian Davis,Be.,Electronic,2018-09-12,191.0,91,4067817,English,No,Atlantic Records,Samuel Perez,Sandra Reed,Hannah Blake
SP24504,Especially record nor.,Jerome Wood,Follow property.,Pop,2006-05-16,240.0,66,84406731,Japanese,No,Atlantic Records,Shelby Clements,Brent Fisher,
SP35411,Artist.,Terri Lopez,Poor player.,Electronic,2020-06-11,163.0,82,41667974,English,No,Sony Music,Evan Smith,Zachary Fisher,Alexandra Roth
SP19769,Reveal American adult strategy.,Ryan Larsen,Someone southern.,Hip-Hop,1998-11-24,,76,25171656,English,Yes,Sony Music,John Rivera,Tara Lopez,
SP12745,Middle letter opportunity.,Joshua Cunningham,Fill present.,Pop,2013-02-26,206.0,33,27842846,English,No,Atlantic Records,Cristina Gould,Donald Diaz,
SP27036,Part red.,Lee Huffman,Us stand.,R&B,1999-01-20,304.0,71,62635322,Italian,Yes,Atlantic Records,Jennifer Ewing,Jennifer Hawkins,
SP49622,Deal development.,Cody Mccormick,Low well.,Folk,1996-09-30,278.0,98,78458280,French,No,Atlantic Records,Glenn Ross,Jennifer Johnson,
SP32313,Still social organization.,Jacqueline West,Bed.,Pop,2021-02-05,332.0,64,27927413,Korean,Yes,Universal Music,Carrie Johnson,John Grimes,
SP16172,While many.,Kelly Wang,Available life.,Electronic,2023-09-13,265.0,78,77094471,English,Yes,Sony Music,Vanessa Brock,Daniel Ramirez,Kaitlyn Lindsey
SP2596,Police size process.,Joseph Morris,Fire indeed.,Electronic,2003-06-03,238.0,91,52986275,English,No,Universal Music,Mary Ward,Jeremy Lopez,
SP48193,Possible herself.,Julie Rogers,Black.,R&B,1998-08-29,232.0,45,97799338,English,Yes,Warner Music,Brian Hughes,Alexis Moore,
SP8301,Agree.,Curtis Chambers,Treatment recent.,Pop,1996-07-23,300.0,51,1793968,English,No,Atlantic Records,Stephen Williams,Gerald Hale,Carrie Robertson
SP32183,Participant watch skill food.,Jodi Rojas,Effort.,Electronic,1999-11-04,277.0,60,51360194,Italian,No,Indie,Donna Harris MD,Francis Green,Randy Juarez
SP1226,Position move.,Elizabeth Lloyd,Their benefit.,Country,1998-05-04,218.0,9,52026172,English,No,Warner Music,Elizabeth Adams,Aaron Keith,
SP26720,Far beat.,Maria Smith,Treatment.,Hip-Hop,2008-04-26,212.0,53,80126906,English,No,Atlantic Records,Rebekah Miranda,Nicholas Doyle,Christopher Jones
SP7474,Necessary still business.,Omar Kennedy,Painting.,Pop,2012-05-26,244.0,13,78881493,English,Yes,Atlantic Records,Daniel Nguyen,Johnny Gardner,Eric Castillo
SP34613,Dog first painting.,Daniel Watts,Medical.,Pop,2002-03-19,,46,14466052,English,Yes,Sony Music,Stephanie Bailey,Terrance Moore,
SP45481,Single pretty black billion.,Dr. Pamela Wall,Eight.,Hip-Hop,2000-06-28,252.0,73,19945924,Italian,Yes,Def Jam,Mrs. Renee Steele,Andrea Perez,
SP15231,Other someone.,Bruce Ramirez,Difference recognize.,Hip-Hop,2005-12-08,172.0,21,751149,English,No,Warner Music,John Hernandez,Ashley Brewer,
SP25141,Economy.,Christopher Choi,We.,Pop,2022-02-21,269.0,46,344405,English,Yes,Universal Music,Kevin Hurst,Kathy Torres,Gregory Mckinney
SP49533,Strong address test.,Cindy Gregory,Front but.,Country,2024-01-04,208.0,46,70519546,English,No,Universal Music,Pedro Hopkins,Tina Parsons,
SP14797,Truth particular.,Jesus Navarro,Dream back.,Electronic,2016-08-06,,63,41904028,French,No,Def Jam,Bryan Carter,David Wells,
SP5691,Morning often growth.,Donald Landry Jr.,Party offer.,Pop,1998-05-07,,85,98907714,English,Yes,Universal Music,Walter Hernandez,Cheryl Kramer,
SP35924,Next wall exactly.,Sara Atkinson,Country.,Electronic,1998-05-14,,8,51258543,Spanish,Yes,Atlantic Records,Kelly Tyler,Samantha Francis,
SP33988,Face program compare.,Adam Diaz,Once.,Pop,2010-09-17,,59,42063796,German,Yes,Indie,Seth Gutierrez,Keith Crawford,
SP45859,Represent billion.,Teresa Stevens,Teacher.,Hip-Hop,2010-03-21,223.0,38,80590465,English,No,Atlantic Records,Brittney Fields,Ian Green,
SP34516,World price national.,Jackson Pierce,Stop.,Country,2002-06-11,142.0,53,43701323,,No,Sony Music,Meagan Pacheco,Tracy Savage,
SP41429,Writer throw.,Yolanda Klein,Answer.,Electronic,2002-11-14,182.0,42,43932546,English,No,Def Jam,Bryan Richardson,Michael Collins,
SP7027,While maintain camera.,Michael Perry,Company nearly.,Hip-Hop,2009-12-02,243.0,69,29135891,English,Yes,Def Jam,Angela Howard,Thomas Short,Mrs. Victoria Johnson PhD
SP27544,Floor machine yeah.,Jacob Zamora,From writer.,Country,2024-04-26,198.0,57,84194179,English,Yes,Warner Music,Natalie Cobb,Carlos Nichols,
SP45108,Consumer measure.,James Cooke,Order professor.,Classical,2013-10-08,,26,56580858,English,No,Def Jam,Elizabeth Farley,Keith French,
SP48922,Morning sell.,Jessica Mcintyre,Growth.,Pop,1996-04-10,291.0,59,43872329,Spanish,No,Sony Music,Kimberly Graham,Ralph Dodson,
SP12735,Statement carry.,Stephen Morgan,Situation begin.,Jazz,2021-08-16,249.0,80,25875174,French,Yes,Universal Music,Michelle Smith,Kenneth Grant,
SP42277,Several price drive.,Andre Simmons,Rather stock.,Pop,1996-09-28,281.0,14,22800802,English,Yes,Indie,Ryan Ramos,Chad Roy,
SP28567,Bank offer guess speech.,Linda Thomas,Job.,Reggae,2019-07-13,250.0,67,5798543,English,Yes,Warner Music,Erika Black,Kevin Pratt,
SP22055,Daughter six bank.,Stephanie Dunn,Pay.,Folk,2020-10-15,154.0,42,77410045,French,Yes,Warner Music,Theresa Lambert,Rachel White,
SP37947,Reflect east.,Crystal Love,Result.,Pop,2006-12-16,206.0,25,2335221,English,No,Warner Music,Ann Johnson,Renee Garrett,
SP12522,Thank pass leg.,Erika Aguirre,Discussion.,Folk,1996-09-24,250.0,55,41123043,English,No,Def Jam,Terri Hull,Pamela Edwards,Austin Ray
SP16152,Tough country.,Christine Ramirez,Car section.,Classical,2016-04-16,218.0,89,2243654,English,Yes,Warner Music,Natalie Kelly,Jason Bautista,Amanda Mathews
SP16514,Fight system write happen.,Brian Shields,Actually loss.,Classical,2001-03-20,216.0,35,44225215,English,No,Universal Music,Austin Moreno,Jack Martin,
SP19394,Actually behavior.,Marie Mccall,Economy can.,Hip-Hop,2002-12-04,378.0,49,84928656,Spanish,Yes,Sony Music,Eric Gordon,Micheal Johnson,
SP14386,Store PM.,Laura Burke,Practice recently.,Electronic,2014-01-09,189.0,92,59478515,Spanish,No,Def Jam,Sharon Lane,Steven Bartlett,
